isoform,ref_enst,structural_category
PB.11882.5,ENST00000323013.7,full-splice_match
PB.11882.7,ENST00000323013.7,full-splice_match
PB.11883.1,ENST00000458605.6,full-splice_match
PB.11884.2,ENST00000252115.10,full-splice_match
PB.11884.3,ENST00000348657.6,full-splice_match
PB.11885.10,ENST00000361740.9,full-splice_match
PB.11885.12,ENST00000688117.1,full-splice_match
PB.11885.2,ENST00000352397.10,full-splice_match
PB.11885.4,ENST00000407623.8,full-splice_match
PB.11885.5,ENST00000352397.10,full-splice_match
PB.11885.7,ENST00000687198.1,full-splice_match
PB.11885.9,ENST00000686523.1,incomplete-splice_match
PB.11886.10,ENST00000381278.4,full-splice_match
PB.11886.9,ENST00000642412.2,full-splice_match
PB.11887.1,ENST00000263245.10,full-splice_match
PB.11887.4,ENST00000263245.10,full-splice_match
PB.11888.10,ENST00000403744.7,incomplete-splice_match
PB.11888.2,ENST00000407585.5,full-splice_match
PB.11888.3,ENST00000263246.8,full-splice_match
PB.11888.7,ENST00000402229.5,full-splice_match
PB.11889.1,ENST00000266254.12,full-splice_match
PB.11889.2,ENST00000266254.12,full-splice_match
PB.1189.1,ENST00000366645.1,full-splice_match
PB.1189.2,ENST00000366645.1,full-splice_match
PB.1189.3,ENST00000366645.1,full-splice_match
PB.11891.1,ENST00000290429.11,full-splice_match
PB.11891.2,ENST00000327555.5,full-splice_match
PB.11891.3,ENST00000327555.5,full-splice_match
PB.11891.4,ENST00000290429.11,full-splice_match
PB.11892.1,ENST00000337554.8,full-splice_match
PB.11893.2,ENST00000216129.7,full-splice_match
PB.11893.4,ENST00000216129.7,full-splice_match
PB.11895.1,ENST00000350028.5,full-splice_match
PB.11895.2,ENST00000350028.5,full-splice_match
PB.11895.3,ENST00000406477.7,full-splice_match
PB.11895.4,ENST00000338758.12,full-splice_match
PB.11895.5,ENST00000338758.12,full-splice_match
PB.11896.2,ENST00000341255.4,full-splice_match
PB.11897.1,ENST00000347635.9,full-splice_match
PB.11897.2,ENST00000347635.9,full-splice_match
PB.11897.3,ENST00000347635.9,full-splice_match
PB.11899.1,ENST00000327858.11,full-splice_match
PB.11899.2,ENST00000327858.11,full-splice_match
PB.11899.3,ENST00000262722.11,full-splice_match
PB.119.2,ENST00000333868.10,full-splice_match
PB.119.3,ENST00000333868.10,full-splice_match
PB.1190.1,ENST00000295050.12,full-splice_match
PB.1190.2,ENST00000295050.12,full-splice_match
PB.1190.3,ENST00000295050.12,full-splice_match
PB.1190.4,ENST00000295050.12,full-splice_match
PB.1190.5,ENST00000295050.12,full-splice_match
PB.1190.6,ENST00000391858.8,full-splice_match
PB.11900.1,ENST00000488038.5,full-splice_match
PB.11901.1,ENST00000252934.10,full-splice_match
PB.11901.2,ENST00000252934.10,full-splice_match
PB.11901.3,ENST00000252934.10,full-splice_match
PB.11901.4,ENST00000252934.10,full-splice_match
PB.11901.5,ENST00000252934.10,full-splice_match
PB.11902.1,ENST00000649288.1,full-splice_match
PB.11903.12,ENST00000407236.6,incomplete-splice_match
PB.11904.1,ENST00000701128.1,full-splice_match
PB.11904.2,ENST00000701128.1,full-splice_match
PB.11905.1,ENST00000314567.8,full-splice_match
PB.11906.1,ENST00000381031.8,full-splice_match
PB.11906.3,ENST00000381031.8,full-splice_match
PB.11906.4,ENST00000381031.8,full-splice_match
PB.11908.2,ENST00000645190.1,full-splice_match
PB.1191.2,ENST00000366639.9,full-splice_match
PB.1191.3,ENST00000366639.9,full-splice_match
PB.11910.1,ENST00000674500.2,incomplete-splice_match
PB.11911.8,ENST00000408031.1,full-splice_match
PB.11912.1,ENST00000216264.13,full-splice_match
PB.11912.4,ENST00000216264.13,full-splice_match
PB.11912.5,ENST00000216264.13,full-splice_match
PB.11913.2,ENST00000337137.9,full-splice_match
PB.11913.3,ENST00000337137.9,full-splice_match
PB.11914.1,ENST00000216267.12,incomplete-splice_match
PB.11915.2,ENST00000216268.6,full-splice_match
PB.11916.2,ENST00000328268.9,full-splice_match
PB.11917.1,ENST00000360612.5,full-splice_match
PB.11918.1,ENST00000303434.8,full-splice_match
PB.11918.3,ENST00000380909.9,full-splice_match
PB.11918.4,ENST00000303434.8,full-splice_match
PB.11919.3,ENST00000330817.11,full-splice_match
PB.1192.1,ENST00000366641.4,full-splice_match
PB.1192.12,ENST00000366641.4,full-splice_match
PB.1192.13,ENST00000366641.4,full-splice_match
PB.1192.14,ENST00000366641.4,full-splice_match
PB.1192.15,ENST00000366641.4,full-splice_match
PB.1192.2,ENST00000366641.4,full-splice_match
PB.1192.3,ENST00000658954.1,full-splice_match
PB.1192.5,ENST00000667629.1,full-splice_match
PB.11920.4,ENST00000248846.10,full-splice_match
PB.11921.3,ENST00000216271.10,full-splice_match
PB.11923.1,ENST00000330651.11,full-splice_match
PB.11923.2,ENST00000330651.11,incomplete-splice_match
PB.11924.4,ENST00000359337.9,full-splice_match
PB.11925.1,ENST00000380903.7,full-splice_match
PB.11927.1,ENST00000380817.8,full-splice_match
PB.11927.2,ENST00000348911.11,full-splice_match
PB.11928.10,ENST00000612753.5,full-splice_match
PB.11928.3,ENST00000612753.5,full-splice_match
PB.11928.6,ENST00000395744.7,incomplete-splice_match
PB.11928.7,ENST00000395744.7,full-splice_match
PB.11928.8,ENST00000395744.7,full-splice_match
PB.11929.4,ENST00000474879.7,full-splice_match
PB.1193.1,ENST00000651043.3,full-splice_match
PB.1193.10,ENST00000652124.1,full-splice_match
PB.1193.11,ENST00000651043.3,full-splice_match
PB.1193.12,ENST00000651043.3,full-splice_match
PB.1193.13,ENST00000652052.3,full-splice_match
PB.1193.14,ENST00000652124.1,full-splice_match
PB.1193.16,ENST00000651043.3,full-splice_match
PB.1193.17,ENST00000652052.3,full-splice_match
PB.1193.18,ENST00000652124.1,full-splice_match
PB.1193.2,ENST00000652052.3,full-splice_match
PB.1193.20,ENST00000652124.1,full-splice_match
PB.1193.21,ENST00000651043.3,full-splice_match
PB.1193.22,ENST00000652052.3,full-splice_match
PB.1193.23,ENST00000652106.1,full-splice_match
PB.1193.24,ENST00000652052.3,incomplete-splice_match
PB.1193.25,ENST00000652052.3,incomplete-splice_match
PB.1193.4,ENST00000651043.3,full-splice_match
PB.1193.5,ENST00000652124.1,full-splice_match
PB.1193.6,ENST00000652052.3,full-splice_match
PB.1193.8,ENST00000651043.3,full-splice_match
PB.1193.9,ENST00000652052.3,full-splice_match
PB.11930.1,ENST00000395693.8,full-splice_match
PB.11931.1,ENST00000252029.8,full-splice_match
PB.11931.2,ENST00000395678.7,full-splice_match
PB.11932.1,ENST00000312108.12,full-splice_match
PB.11932.10,ENST00000312108.12,full-splice_match
PB.11932.23,ENST00000395650.6,full-splice_match
PB.11932.5,ENST00000395650.6,full-splice_match
PB.11933.1,ENST00000406938.3,full-splice_match
PB.11934.2,ENST00000216124.10,full-splice_match
PB.11934.4,ENST00000356098.9,full-splice_match
PB.11934.5,ENST00000395621.7,full-splice_match
PB.11934.6,ENST00000453344.6,full-splice_match
PB.11935.2,ENST00000420993.7,full-splice_match
PB.11935.4,ENST00000420993.7,full-splice_match
PB.11936.2,ENST00000691320.1,full-splice_match
PB.11937.2,ENST00000326153.10,full-splice_match
PB.11938.2,ENST00000462238.7,full-splice_match
PB.11938.3,ENST00000651346.2,full-splice_match
PB.1194.5,ENST00000366630.5,incomplete-splice_match
PB.1194.6,ENST00000675407.1,incomplete-splice_match
PB.1194.7,ENST00000675407.1,incomplete-splice_match
PB.11940.1,ENST00000381317.9,full-splice_match
PB.11942.1,ENST00000460672.6,full-splice_match
PB.11943.1,ENST00000381261.8,full-splice_match
PB.11943.2,ENST00000313871.9,full-splice_match
PB.11944.3,ENST00000482405.7,full-splice_match
PB.11945.1,ENST00000334651.11,full-splice_match
PB.11945.2,ENST00000381222.8,incomplete-splice_match
PB.11945.3,ENST00000381218.8,full-splice_match
PB.11945.4,ENST00000652001.1,full-splice_match
PB.11945.5,ENST00000461691.6,full-splice_match
PB.11945.6,ENST00000381222.8,full-splice_match
PB.11946.1,ENST00000381154.6,full-splice_match
PB.11946.2,ENST00000381154.6,full-splice_match
PB.11947.1,ENST00000217939.7,incomplete-splice_match
PB.11948.1,ENST00000262848.6,full-splice_match
PB.11948.2,ENST00000262848.6,full-splice_match
PB.11950.2,ENST00000398806.8,full-splice_match
PB.11951.1,ENST00000381077.10,full-splice_match
PB.11951.2,ENST00000381077.10,full-splice_match
PB.11952.1,ENST00000381042.9,full-splice_match
PB.11952.2,ENST00000381042.9,full-splice_match
PB.11952.4,ENST00000381042.9,full-splice_match
PB.11952.6,ENST00000381042.9,full-splice_match
PB.11952.7,ENST00000381042.9,full-splice_match
PB.11953.1,ENST00000674429.1,full-splice_match
PB.11953.2,ENST00000674429.1,full-splice_match
PB.11953.3,ENST00000674429.1,full-splice_match
PB.11954.1,ENST00000645686.1,incomplete-splice_match
PB.11955.1,ENST00000380913.8,full-splice_match
PB.11956.2,ENST00000380861.10,incomplete-splice_match
PB.11957.1,ENST00000262648.8,full-splice_match
PB.11958.1,ENST00000380833.9,full-splice_match
PB.11958.10,ENST00000380833.9,incomplete-splice_match
PB.11958.11,ENST00000674669.1,incomplete-splice_match
PB.11958.2,ENST00000380833.9,full-splice_match
PB.11958.3,ENST00000380833.9,full-splice_match
PB.11958.5,ENST00000380833.9,full-splice_match
PB.11958.6,ENST00000380833.9,full-splice_match
PB.11958.7,ENST00000380833.9,full-splice_match
PB.11958.9,ENST00000380833.9,full-splice_match
PB.11959.1,ENST00000317552.9,full-splice_match
PB.11959.2,ENST00000690004.1,full-splice_match
PB.11959.3,ENST00000380779.5,full-splice_match
PB.1196.1,ENST00000418460.4,full-splice_match
PB.1196.2,ENST00000418460.4,full-splice_match
PB.1196.3,ENST00000418460.4,full-splice_match
PB.1196.4,ENST00000418460.4,full-splice_match
PB.11960.1,ENST00000380762.5,full-splice_match
PB.11960.2,ENST00000380763.7,full-splice_match
PB.11960.3,ENST00000380762.5,full-splice_match
PB.11960.5,ENST00000321143.8,full-splice_match
PB.11960.6,ENST00000380762.5,full-splice_match
PB.11961.1,ENST00000312196.10,full-splice_match
PB.11961.2,ENST00000649078.1,full-splice_match
PB.11961.3,ENST00000649602.1,full-splice_match
PB.11963.1,ENST00000380668.10,full-splice_match
PB.11963.2,ENST00000380668.10,full-splice_match
PB.11964.1,ENST00000380659.4,full-splice_match
PB.11966.1,ENST00000451311.7,full-splice_match
PB.11967.2,ENST00000696128.1,full-splice_match
PB.11967.3,ENST00000380600.2,full-splice_match
PB.11967.5,ENST00000490617.1,full-splice_match
PB.11967.6,ENST00000696129.1,full-splice_match
PB.11967.7,ENST00000696130.1,full-splice_match
PB.11967.8,ENST00000544987.3,full-splice_match
PB.11967.9,ENST00000696129.1,incomplete-splice_match
PB.11968.1,ENST00000333995.7,full-splice_match
PB.11969.1,ENST00000464506.2,full-splice_match
PB.11969.2,ENST00000464506.2,full-splice_match
PB.11969.3,ENST00000464506.2,full-splice_match
PB.11969.4,ENST00000618931.2,full-splice_match
PB.1197.2,ENST00000366628.10,full-splice_match
PB.1197.3,ENST00000366628.10,full-splice_match
PB.11971.1,ENST00000454189.7,full-splice_match
PB.11972.1,ENST00000680255.1,full-splice_match
PB.11972.2,ENST00000680255.1,full-splice_match
PB.11972.3,ENST00000680255.1,full-splice_match
PB.11973.1,ENST00000380550.6,incomplete-splice_match
PB.11973.2,ENST00000380550.6,incomplete-splice_match
PB.11973.3,ENST00000380550.6,incomplete-splice_match
PB.11973.4,ENST00000340096.11,full-splice_match
PB.11973.5,ENST00000340096.11,incomplete-splice_match
PB.11973.6,ENST00000340096.11,incomplete-splice_match
PB.11974.1,ENST00000650831.1,incomplete-splice_match
PB.11976.1,ENST00000635598.1,full-splice_match
PB.11976.2,ENST00000634640.1,full-splice_match
PB.11976.3,ENST00000333590.6,full-splice_match
PB.11976.4,ENST00000634582.1,full-splice_match
PB.11977.1,ENST00000297904.4,full-splice_match
PB.11978.1,ENST00000380420.10,full-splice_match
PB.11979.1,ENST00000380492.8,full-splice_match
PB.11979.2,ENST00000380492.8,full-splice_match
PB.11979.3,ENST00000380492.8,full-splice_match
PB.11980.1,ENST00000679212.1,full-splice_match
PB.11980.2,ENST00000679162.1,full-splice_match
PB.11980.3,ENST00000252519.8,full-splice_match
PB.11980.4,ENST00000252519.8,full-splice_match
PB.11980.8,ENST00000678073.1,full-splice_match
PB.11980.9,ENST00000252519.8,incomplete-splice_match
PB.11981.1,ENST00000348343.11,full-splice_match
PB.11984.10,ENST00000450644.2,full-splice_match
PB.11984.2,ENST00000329235.6,full-splice_match
PB.11984.4,ENST00000329235.6,full-splice_match
PB.11984.6,ENST00000329235.6,full-splice_match
PB.11984.7,ENST00000329235.6,full-splice_match
PB.11984.9,ENST00000380291.5,full-splice_match
PB.11985.3,ENST00000690252.1,full-splice_match
PB.11985.4,ENST00000307771.8,full-splice_match
PB.11986.1,ENST00000380155.4,full-splice_match
PB.11986.2,ENST00000380155.4,full-splice_match
PB.11986.3,ENST00000380155.4,full-splice_match
PB.11986.4,ENST00000380155.4,full-splice_match
PB.11986.5,ENST00000380155.4,full-splice_match
PB.11986.6,ENST00000380155.4,full-splice_match
PB.11987.2,ENST00000359276.9,full-splice_match
PB.11987.3,ENST00000359276.9,full-splice_match
PB.11988.1,ENST00000380122.10,full-splice_match
PB.11989.1,ENST00000380087.7,full-splice_match
PB.11989.2,ENST00000404022.5,full-splice_match
PB.11989.3,ENST00000380087.7,full-splice_match
PB.11989.4,ENST00000380084.8,full-splice_match
PB.11990.1,ENST00000451717.6,full-splice_match
PB.11990.3,ENST00000360011.5,full-splice_match
PB.11991.1,ENST00000380045.7,full-splice_match
PB.11991.2,ENST00000398080.5,full-splice_match
PB.11992.1,ENST00000251900.9,full-splice_match
PB.11993.1,ENST00000623535.2,incomplete-splice_match
PB.11994.10,ENST00000379942.5,full-splice_match
PB.11994.2,ENST00000379942.5,full-splice_match
PB.11994.5,ENST00000379942.5,full-splice_match
PB.11995.1,ENST00000397821.8,full-splice_match
PB.11995.2,ENST00000699740.1,full-splice_match
PB.11995.3,ENST00000699739.1,full-splice_match
PB.11995.4,ENST00000699673.1,full-splice_match
PB.11995.5,ENST00000397821.8,full-splice_match
PB.11995.6,ENST00000699740.1,full-splice_match
PB.11995.8,ENST00000699739.1,full-splice_match
PB.11995.9,ENST00000699673.1,full-splice_match
PB.11996.1,ENST00000379607.10,full-splice_match
PB.11996.2,ENST00000379607.10,full-splice_match
PB.11996.3,ENST00000379607.10,full-splice_match
PB.11996.4,ENST00000379607.10,full-splice_match
PB.11996.5,ENST00000379607.10,full-splice_match
PB.11996.6,ENST00000379607.10,full-splice_match
PB.11996.7,ENST00000379607.10,full-splice_match
PB.11997.1,ENST00000379565.9,incomplete-splice_match
PB.11998.1,ENST00000540249.5,full-splice_match
PB.11998.10,ENST00000422285.7,full-splice_match
PB.11998.11,ENST00000422285.7,full-splice_match
PB.11998.12,ENST00000417819.6,full-splice_match
PB.11998.13,ENST00000422285.7,full-splice_match
PB.11998.14,ENST00000423505.6,full-splice_match
PB.11998.15,ENST00000423505.6,full-splice_match
PB.11998.16,ENST00000422285.7,full-splice_match
PB.11998.2,ENST00000355808.10,full-splice_match
PB.11998.4,ENST00000422285.7,full-splice_match
PB.11998.5,ENST00000422285.7,full-splice_match
PB.11998.6,ENST00000355808.10,full-splice_match
PB.11998.7,ENST00000417819.6,full-splice_match
PB.11998.8,ENST00000355808.10,full-splice_match
PB.11998.9,ENST00000422285.7,full-splice_match
PB.11999.1,ENST00000379565.9,full-splice_match
PB.11999.2,ENST00000457145.6,full-splice_match
PB.11999.3,ENST00000646610.1,full-splice_match
PB.12.1,ENST00000379031.10,full-splice_match
PB.120.11,ENST00000375766.8,full-splice_match
PB.120.12,ENST00000375766.8,full-splice_match
PB.120.14,ENST00000375766.8,incomplete-splice_match
PB.120.4,ENST00000375766.8,full-splice_match
PB.120.5,ENST00000375766.8,full-splice_match
PB.120.9,ENST00000375766.8,full-splice_match
PB.12000.1,ENST00000379499.3,full-splice_match
PB.12002.1,ENST00000379484.10,full-splice_match
PB.12002.10,ENST00000379484.10,full-splice_match
PB.12002.11,ENST00000404933.7,full-splice_match
PB.12002.2,ENST00000379484.10,full-splice_match
PB.12002.3,ENST00000379484.10,full-splice_match
PB.12002.6,ENST00000379484.10,full-splice_match
PB.12002.8,ENST00000379484.10,full-splice_match
PB.12002.9,ENST00000379484.10,full-splice_match
PB.12003.1,ENST00000379494.4,full-splice_match
PB.12003.2,ENST00000379494.4,full-splice_match
PB.12003.6,ENST00000494525.1,incomplete-splice_match
PB.12003.7,ENST00000494525.1,incomplete-splice_match
PB.12004.1,ENST00000379341.9,full-splice_match
PB.12005.10,ENST00000379303.10,full-splice_match
PB.12005.11,ENST00000336430.11,full-splice_match
PB.12005.12,ENST00000379303.10,full-splice_match
PB.12005.8,ENST00000336430.11,full-splice_match
PB.12005.9,ENST00000379303.10,full-splice_match
PB.12006.1,ENST00000379226.9,full-splice_match
PB.12007.3,ENST00000379270.5,full-splice_match
PB.12008.1,ENST00000253039.9,full-splice_match
PB.12008.2,ENST00000253039.9,full-splice_match
PB.12008.3,ENST00000253039.9,full-splice_match
PB.12009.1,ENST00000685367.1,full-splice_match
PB.12009.2,ENST00000685367.1,full-splice_match
PB.1201.1,ENST00000366621.8,full-splice_match
PB.1201.2,ENST00000366621.8,full-splice_match
PB.12010.1,ENST00000379177.5,incomplete-splice_match
PB.12010.6,ENST00000304543.10,incomplete-splice_match
PB.12012.1,ENST00000568479.2,full-splice_match
PB.12012.2,ENST00000568479.2,full-splice_match
PB.12012.3,ENST00000568479.2,full-splice_match
PB.12013.1,ENST00000568479.2,incomplete-splice_match
PB.12014.1,ENST00000379068.8,incomplete-splice_match
PB.12014.2,ENST00000379068.8,full-splice_match
PB.12014.3,ENST00000379059.7,full-splice_match
PB.12014.4,ENST00000379068.8,incomplete-splice_match
PB.12016.1,ENST00000378930.7,incomplete-splice_match
PB.12016.2,ENST00000288422.4,full-splice_match
PB.12016.3,ENST00000288422.4,full-splice_match
PB.12017.1,ENST00000378707.7,incomplete-splice_match
PB.12017.10,ENST00000378707.7,incomplete-splice_match
PB.12017.11,ENST00000684130.1,incomplete-splice_match
PB.12017.12,ENST00000378702.8,full-splice_match
PB.12017.13,ENST00000682600.1,full-splice_match
PB.12017.14,ENST00000361471.8,full-splice_match
PB.12017.15,ENST00000684130.1,incomplete-splice_match
PB.12017.2,ENST00000541735.5,incomplete-splice_match
PB.12017.3,ENST00000682600.1,full-splice_match
PB.12017.5,ENST00000684130.1,incomplete-splice_match
PB.12017.7,ENST00000378702.8,full-splice_match
PB.12017.8,ENST00000361471.8,full-splice_match
PB.12017.9,ENST00000378723.7,full-splice_match
PB.12018.10,ENST00000682899.1,full-splice_match
PB.12018.11,ENST00000682899.1,incomplete-splice_match
PB.12018.12,ENST00000684165.1,full-splice_match
PB.12018.13,ENST00000684292.1,full-splice_match
PB.12018.14,ENST00000684292.1,incomplete-splice_match
PB.12018.2,ENST00000357033.9,incomplete-splice_match
PB.12018.3,ENST00000357033.9,incomplete-splice_match
PB.12018.4,ENST00000357033.9,incomplete-splice_match
PB.12018.5,ENST00000357033.9,incomplete-splice_match
PB.12018.6,ENST00000357033.9,incomplete-splice_match
PB.12018.8,ENST00000357033.9,incomplete-splice_match
PB.1202.1,ENST00000366610.7,full-splice_match
PB.1202.2,ENST00000366609.4,full-splice_match
PB.1202.4,ENST00000366609.4,full-splice_match
PB.1202.5,ENST00000366610.7,full-splice_match
PB.1202.6,ENST00000366610.7,full-splice_match
PB.1202.7,ENST00000366609.4,full-splice_match
PB.12020.1,ENST00000449135.6,full-splice_match
PB.12020.3,ENST00000378628.9,full-splice_match
PB.12020.4,ENST00000542554.5,full-splice_match
PB.12020.5,ENST00000491253.1,full-splice_match
PB.12020.6,ENST00000543642.5,full-splice_match
PB.12021.1,ENST00000378616.5,full-splice_match
PB.12021.2,ENST00000378616.5,full-splice_match
PB.12022.3,ENST00000275954.4,full-splice_match
PB.12022.4,ENST00000275954.4,full-splice_match
PB.12022.5,ENST00000275954.4,full-splice_match
PB.12022.6,ENST00000275954.4,full-splice_match
PB.12022.7,ENST00000275954.4,full-splice_match
PB.12022.8,ENST00000275954.4,full-splice_match
PB.12023.1,ENST00000378578.9,full-splice_match
PB.12023.2,ENST00000378578.9,full-splice_match
PB.12023.3,ENST00000378578.9,full-splice_match
PB.12024.1,ENST00000378533.4,full-splice_match
PB.12024.2,ENST00000378533.4,full-splice_match
PB.12024.3,ENST00000538295.5,full-splice_match
PB.12024.4,ENST00000544439.5,full-splice_match
PB.12025.1,ENST00000378588.5,full-splice_match
PB.12026.1,ENST00000378482.7,full-splice_match
PB.12027.1,ENST00000614558.3,full-splice_match
PB.12028.1,ENST00000642395.2,full-splice_match
PB.12028.2,ENST00000642395.2,full-splice_match
PB.12028.5,ENST00000642395.2,incomplete-splice_match
PB.12029.1,ENST00000447651.1,full-splice_match
PB.1203.1,ENST00000366607.5,full-splice_match
PB.1203.2,ENST00000473132.1,incomplete-splice_match
PB.1203.3,ENST00000366607.5,full-splice_match
PB.12030.2,ENST00000378455.8,full-splice_match
PB.12030.4,ENST00000672922.2,full-splice_match
PB.12030.7,ENST00000397354.7,incomplete-splice_match
PB.12030.8,ENST00000378455.8,incomplete-splice_match
PB.12031.1,ENST00000327877.10,full-splice_match
PB.12031.3,ENST00000327877.10,full-splice_match
PB.12032.1,ENST00000636580.2,full-splice_match
PB.12032.2,ENST00000636580.2,full-splice_match
PB.12032.3,ENST00000637327.1,full-splice_match
PB.12032.4,ENST00000636580.2,full-splice_match
PB.12033.1,ENST00000703986.1,full-splice_match
PB.12033.10,ENST00000704649.1,incomplete-splice_match
PB.12033.2,ENST00000378308.7,full-splice_match
PB.12033.3,ENST00000378308.7,full-splice_match
PB.12033.4,ENST00000324545.9,incomplete-splice_match
PB.12033.5,ENST00000378308.7,full-splice_match
PB.12033.6,ENST00000703986.1,incomplete-splice_match
PB.12033.7,ENST00000703987.1,incomplete-splice_match
PB.12033.8,ENST00000704656.1,incomplete-splice_match
PB.12033.9,ENST00000704656.1,incomplete-splice_match
PB.12034.1,ENST00000644876.2,full-splice_match
PB.12034.3,ENST00000644876.2,full-splice_match
PB.12034.4,ENST00000644876.2,full-splice_match
PB.12035.1,ENST00000378142.9,full-splice_match
PB.12036.1,ENST00000324817.6,full-splice_match
PB.12036.2,ENST00000324817.6,full-splice_match
PB.12036.5,ENST00000324817.6,full-splice_match
PB.12036.8,ENST00000324817.6,incomplete-splice_match
PB.12037.1,ENST00000378069.5,full-splice_match
PB.12038.3,ENST00000420999.2,full-splice_match
PB.12038.4,ENST00000420999.2,full-splice_match
PB.12038.5,ENST00000420999.2,full-splice_match
PB.12039.1,ENST00000338702.4,full-splice_match
PB.12039.2,ENST00000689087.1,full-splice_match
PB.12039.3,ENST00000542639.6,full-splice_match
PB.12039.4,ENST00000693128.1,full-splice_match
PB.12039.5,ENST00000338702.4,full-splice_match
PB.1204.1,ENST00000408888.8,full-splice_match
PB.1204.2,ENST00000408888.8,full-splice_match
PB.12040.1,ENST00000378045.5,full-splice_match
PB.12040.2,ENST00000378045.5,full-splice_match
PB.12042.1,ENST00000398000.7,full-splice_match
PB.12042.2,ENST00000398000.7,full-splice_match
PB.12042.4,ENST00000398000.7,full-splice_match
PB.12042.6,ENST00000377934.4,full-splice_match
PB.12043.1,ENST00000683021.1,full-splice_match
PB.12043.2,ENST00000382899.9,full-splice_match
PB.12043.3,ENST00000377967.9,full-splice_match
PB.12043.4,ENST00000382899.9,full-splice_match
PB.12043.5,ENST00000611820.5,full-splice_match
PB.12044.1,ENST00000298190.10,full-splice_match
PB.12044.2,ENST00000344302.9,full-splice_match
PB.12045.1,ENST00000421685.2,full-splice_match
PB.12047.1,ENST00000276055.4,full-splice_match
PB.12047.2,ENST00000276055.4,full-splice_match
PB.12047.3,ENST00000276055.4,full-splice_match
PB.12048.1,ENST00000218340.4,full-splice_match
PB.12049.1,ENST00000611250.4,full-splice_match
PB.12049.2,ENST00000614628.5,full-splice_match
PB.1205.1,ENST00000474953.5,incomplete-splice_match
PB.12050.1,ENST00000616978.5,full-splice_match
PB.12051.1,ENST00000352078.8,full-splice_match
PB.12051.3,ENST00000457380.5,full-splice_match
PB.12051.4,ENST00000397180.6,full-splice_match
PB.12052.3,ENST00000329236.8,full-splice_match
PB.12052.6,ENST00000345781.10,incomplete-splice_match
PB.12052.7,ENST00000345781.10,full-splice_match
PB.12053.1,ENST00000377351.8,full-splice_match
PB.12053.8,ENST00000335972.11,full-splice_match
PB.12054.17,ENST00000357227.9,full-splice_match
PB.12054.2,ENST00000457458.6,full-splice_match
PB.12054.20,ENST00000357227.9,full-splice_match
PB.12054.3,ENST00000457458.6,full-splice_match
PB.12055.1,ENST00000687244.1,full-splice_match
PB.12055.2,ENST00000377811.4,full-splice_match
PB.12056.1,ENST00000377107.7,full-splice_match
PB.12057.1,ENST00000624822.1,full-splice_match
PB.12058.1,ENST00000684689.1,full-splice_match
PB.12058.12,ENST00000684689.1,full-splice_match
PB.12058.3,ENST00000684689.1,full-splice_match
PB.12058.7,ENST00000684689.1,full-splice_match
PB.12058.9,ENST00000684689.1,full-splice_match
PB.12059.4,ENST00000377039.2,incomplete-splice_match
PB.12059.5,ENST00000377045.9,full-splice_match
PB.1206.1,ENST00000437601.2,incomplete-splice_match
PB.12060.1,ENST00000295987.13,incomplete-splice_match
PB.12060.2,ENST00000340666.5,incomplete-splice_match
PB.12061.1,ENST00000218388.9,full-splice_match
PB.12062.1,ENST00000247161.7,full-splice_match
PB.12062.2,ENST00000343894.8,full-splice_match
PB.12062.3,ENST00000376983.8,full-splice_match
PB.12064.1,ENST00000338637.13,full-splice_match
PB.12065.1,ENST00000333119.7,full-splice_match
PB.12067.1,ENST00000338637.13,incomplete-splice_match
PB.12068.1,ENST00000348411.3,full-splice_match
PB.12068.3,ENST00000348411.3,incomplete-splice_match
PB.12069.2,ENST00000355961.8,full-splice_match
PB.12069.3,ENST00000361988.7,full-splice_match
PB.1207.1,ENST00000391855.2,full-splice_match
PB.1207.2,ENST00000282841.9,full-splice_match
PB.1207.3,ENST00000282841.9,full-splice_match
PB.1207.4,ENST00000282841.9,full-splice_match
PB.1207.5,ENST00000282841.9,full-splice_match
PB.1207.6,ENST00000254724.6,full-splice_match
PB.12070.1,ENST00000495186.6,full-splice_match
PB.12071.2,ENST00000376771.9,full-splice_match
PB.12071.4,ENST00000481090.6,full-splice_match
PB.12071.5,ENST00000376771.9,full-splice_match
PB.12072.1,ENST00000376759.8,full-splice_match
PB.12073.4,ENST00000218056.9,full-splice_match
PB.12073.7,ENST00000376729.10,full-splice_match
PB.12073.8,ENST00000218056.9,full-splice_match
PB.12073.9,ENST00000376729.10,full-splice_match
PB.12074.1,ENST00000376687.4,full-splice_match
PB.12075.1,ENST00000428686.1,full-splice_match
PB.12075.2,ENST00000276054.9,full-splice_match
PB.12076.1,ENST00000443563.6,full-splice_match
PB.12076.2,ENST00000334136.11,full-splice_match
PB.12076.4,ENST00000644068.1,full-splice_match
PB.12076.5,ENST00000643374.2,full-splice_match
PB.12077.1,ENST00000696123.1,full-splice_match
PB.12078.1,ENST00000376521.6,full-splice_match
PB.12078.2,ENST00000376512.2,full-splice_match
PB.12079.1,ENST00000376509.4,full-splice_match
PB.1208.1,ENST00000491632.5,incomplete-splice_match
PB.1208.2,ENST00000421364.5,incomplete-splice_match
PB.1208.3,ENST00000491632.5,incomplete-splice_match
PB.1208.4,ENST00000491632.5,incomplete-splice_match
PB.12080.1,ENST00000376488.8,full-splice_match
PB.12081.1,ENST00000703876.1,full-splice_match
