gene,chrom,strand,start,end,n_tx,plot_start,plot_end,span
CNOT6L,chr4,-,77713388,77819436,7,77711388,77821436,110048
CNOT7,chr8,-,17224965,17246862,10,17222965,17248862,25897
CNOT8,chr5,+,154858243,154876791,8,154856243,154878791,22548
CNOT9,chr2,+,218568839,218596424,2,218566839,218598424,31585
CNP,chr17,+,41966795,41977736,3,41964795,41979736,14941
CNPPD1,chr2,-,219171898,219178155,3,219169898,219180155,10257
CNPY2,chr12,-,56308015,56315963,1,56306015,56317963,11948
CNPY2-AS1,chr12,+,56300108,56318330,1,56298108,56320330,22222
CNPY3,chr6,+,42929171,42943420,2,42927171,42945420,18249
CNRIP1,chr2,-,68293009,68319956,1,68291009,68321956,30947
CNST,chr1,+,246566334,246668592,15,246564334,246670592,106258
CNTF,chr11,+,58622659,58626798,1,58620659,58628798,8139
CNTFR,chr9,-,34551434,34589724,1,34549434,34591724,42290
CNTN4,chr3,+,2455072,3057811,1,2453072,3059811,606739
CNTNAP3,chr9,-,39072991,39288547,5,39070991,39290547,219556
CNTNAP3B,chr9,-,41900075,42129471,2,41898075,42131471,233396
CNTROB,chr17,+,7932208,7949577,1,7930208,7951577,21369
COA1,chr7,-,43608454,43729520,6,43606454,43731520,125066
COA3,chr17,-,42797635,42798704,1,42795635,42800704,5069
COA5,chr2,-,98595881,98608518,6,98593881,98610518,16637
COA7,chr1,-,52684437,52698363,5,52682437,52700363,17926
COA8,chr14,+,103562968,103590890,3,103560968,103592890,31922
COASY,chr17,+,42562151,42566274,3,42560151,42568274,8123
COBL,chr7,-,51016211,51316920,25,51014211,51318920,304709
COBLL1,chr2,-,164684818,164842090,3,164682818,164844090,161272
COCH,chr14,+,30874514,30890135,2,30872514,30892135,19621
COG1,chr17,+,73193011,73209428,13,73191011,73211428,20417
COG2,chr1,+,230642483,230693981,3,230640483,230695981,55498
COG3,chr13,+,45464939,45536624,4,45462939,45538624,75685
COG4,chr16,-,70480572,70523548,2,70478572,70525548,46976
COG5,chr7,-,107200132,107564347,23,107198132,107566347,368215
COG6,chr13,+,39655679,39752639,8,39653679,39754639,100960
COG7,chr16,-,23388496,23453176,2,23386496,23455176,68680
COG8,chr16,-,69321992,69339576,7,69319992,69341576,21584
COIL,chr17,-,56938202,56961043,1,56936202,56963043,26841
COL12A1,chr6,-,75084327,75206053,1,75082327,75208053,125726
COL14A1,chr8,+,120125173,120372027,2,120123173,120374027,250854
COL15A1,chr9,+,98943484,99070791,6,98941484,99072791,131307
COL16A1,chr1,-,31652522,31704017,4,31650522,31706017,55495
COL18A1,chr21,+,45405162,45513718,5,45403162,45515718,112556
COL19A1,chr6,+,69866552,70137748,1,69864552,70139748,275196
COL1A1,chr17,-,50185277,50201631,4,50183277,50203631,20354
COL1A2,chr7,+,94394895,94431220,4,94392895,94433220,40325
COL21A1,chr6,-,56056591,56247542,5,56054591,56249542,194951
COL23A1,chr5,-,178237618,178306906,3,178235618,178308906,73288
COL3A1,chr2,+,188974373,189012739,4,188972373,189014739,42366
COL4A1,chr13,-,110148965,110307208,7,110146965,110309208,162243
COL4A2,chr13,+,110307257,110513025,10,110305257,110515025,209768
COL4A4,chr2,-,226979313,227164231,2,226977313,227166231,188918
COL4A5,chrX,+,108439798,108697539,2,108437798,108699539,261741
COL4A6,chrX,-,108155616,108439507,2,108153616,108441507,287891
COL5A1,chr9,+,134782665,134844545,1,134780665,134846545,65880
COL5A2,chr2,-,189032514,189179787,2,189030514,189181787,151273
COL5A3,chr19,-,9959561,10010509,1,9957561,10012509,54948
COL6A1,chr21,+,45981742,46005050,4,45979742,46007050,27308
COL6A2,chr21,+,46097913,46132849,5,46095913,46134849,38936
COL6A3,chr2,-,237324018,237414171,3,237322018,237416171,94153
COL8A1,chr3,+,99638594,99799210,4,99636594,99801210,164616
COL9A1,chr6,-,70216128,70283227,2,70214128,70285227,71099
COL9A3,chr20,+,62817050,62841158,1,62815050,62843158,28108
COLEC11,chr2,+,3595112,3644444,1,3593112,3646444,53332
COLEC12,chr18,-,319431,357473,1,317431,359473,42042
COLGALT1,chr19,+,17555590,17583157,4,17553590,17585157,31567
COLGALT2,chr1,-,183935837,184052132,6,183933837,184054132,120295
COLQ,chr3,-,15450132,15521832,7,15448132,15523832,75700
COMMD1,chr2,+,61905653,62136058,1,61903653,62138058,234405
COMMD10,chr5,+,116085025,116295583,6,116083025,116297583,214558
COMMD1_B3GNT2,chr2,+,61905674,62224729,1,61903674,62226729,323055
COMMD2,chr3,-,149737887,149752498,6,149735887,149754498,18611
COMMD3,chr10,+,22316409,22320302,1,22314409,22322302,7893
COMMD6,chr13,-,75526438,75537847,1,75524438,75539847,15409
COMMD7,chr20,-,32701564,32743593,2,32699564,32745593,46029
COMMD8,chr4,-,47450796,47463665,1,47448796,47465665,16869
COMMD9,chr11,-,36272293,36289432,3,36270293,36291432,21139
COMP,chr19,-,18782774,18791305,1,18780774,18793305,12531
COMT,chr22,+,19941643,19969948,3,19939643,19971948,32305
COMTD1,chr10,-,75232761,75235954,1,75230761,75237954,7193
COP1,chr1,-,175944832,176207286,7,175942832,176209286,266454
COPA,chr1,-,160288602,160343574,15,160286602,160345574,58972
COPB1,chr11,-,14457513,14499857,9,14455513,14501857,46344
COPB2,chr3,-,139353950,139389671,16,139351950,139391671,39721
COPE,chr19,-,18899515,18919385,2,18897515,18921385,23870
COPG1,chr3,+,129249583,129278062,4,129247583,129280062,32479
COPG2,chr7,-,130506241,130668723,2,130504241,130670723,166482
COPRS,chr17,-,31851882,31859235,1,31849882,31861235,11353
COPS2,chr15,-,49125297,49155610,13,49123297,49157610,34313
COPS3,chr17,-,17245523,17281269,4,17243523,17283269,39746
COPS4,chr4,+,83035055,83075808,3,83033055,83077808,44753
COPS5,chr8,-,67043088,67062133,2,67041088,67064133,23045
COPS6,chr7,+,100088969,100094928,5,100086969,100096928,9959
COPS7A,chr12,+,6724046,6731862,5,6722046,6733862,11816
COPS7B,chr2,+,231781691,231809252,3,231779691,231811252,31561
COPS8,chr2,+,237085884,237100468,10,237083884,237102468,18584
COPS8-DT,chr2,-,237084119,237085821,1,237082119,237087821,5702
COPS9,chr2,-,240130829,240136295,1,240128829,240138295,9466
COPZ1,chr12,+,54325138,54351843,2,54323138,54353843,30705
COQ10A,chr12,+,56266942,56270963,3,56264942,56272963,8021
COQ10B,chr2,+,197453500,197475494,5,197451500,197477494,25994
COQ2,chr4,-,83263826,83284790,1,83261826,83286790,24964
COQ3,chr6,-,99369407,99394209,1,99367407,99396209,28802
COQ4,chr9,+,128322578,128334070,1,128320578,128336070,15492
COQ5,chr12,-,120503280,120529158,3,120501280,120531158,29878
COQ6,chr14,+,73950278,73963588,4,73948278,73965588,17310
COQ7,chr16,+,19067614,19082200,9,19065614,19084200,18586
COQ8A,chr1,+,226940294,226987544,19,226938294,226989544,51250
COQ8B,chr19,-,40691530,40716896,4,40689530,40718896,29366
COQ8B_NUMBL,chr19,-,40666678,40716898,2,40664678,40718898,54220
COQ9,chr16,+,57447479,57462316,4,57445479,57464316,18837
CORIN,chr4,-,47594003,47838106,18,47592003,47840106,248103
CORO1A,chr16,+,30183609,30189074,1,30181609,30191074,9465
CORO1B,chr11,-,67438055,67443467,1,67436055,67445467,9412
CORO1C,chr12,-,108645112,108731744,8,108643112,108733744,90632
CORO6,chr17,-,29614763,29622917,13,29612763,29624917,12154
CORO7,chr16,-,4354544,4416597,1,4352544,4418597,66053
CORO7-PAM16,chr16,-,4340252,4416630,1,4338252,4418630,80378
COTL1,chr16,-,84565600,84618075,1,84563600,84620075,56475
COX10,chr17,+,14069515,14208875,4,14067515,14210875,143360
COX10-DT,chr17,-,14028664,14069479,4,14026664,14071479,44815
COX11,chr17,-,54960424,54968698,5,54958424,54970698,12274
COX11_ENSG00000279059,chr17,-,54956752,54968677,2,54954752,54970677,15925
COX14,chr12,+,50112205,50120452,2,50110205,50122452,12247
COX15,chr10,-,99694294,99732900,10,99692294,99734900,42606
COX16,chr14,-,70325082,70359671,1,70323082,70361671,38589
COX17,chr3,-,119669534,119677384,1,119667534,119679384,11850
COX18,chr4,-,73056081,73069724,2,73054081,73071724,17643
COX19,chr7,-,966084,975547,3,964084,977547,13463
COX20,chr1,+,244835327,244845055,7,244833327,244847055,13728
COX4I1,chr16,+,85799692,85806999,4,85797692,85808999,11307
COX5A,chr15,-,74920278,74938104,1,74918278,74940104,21826
COX5B,chr2,+,97646068,97648193,1,97644068,97650193,6125
COX6A1,chr12,+,120438113,120440726,1,120436113,120442726,6613
COX6A2,chr16,-,31427732,31428360,2,31425732,31430360,4628
COX6B1,chr19,+,35648339,35658774,1,35646339,35660774,14435
COX6C,chr8,-,99876022,99893726,2,99874022,99895726,21704
COX7A1,chr19,-,36150922,36152457,2,36148922,36154457,5535
COX7A2,chr6,-,75237788,75243792,1,75235788,75245792,10004
COX7A2L,chr2,-,42349340,42361220,3,42347340,42363220,15880
COX7B,chrX,+,77899469,77907366,2,77897469,77909366,11897
COX7C,chr5,+,86617968,86620764,1,86615968,86622764,6796
COX8A,chr11,+,63974650,63976541,1,63972650,63978541,5891
CPAMD8,chr19,-,16892952,17026801,1,16890952,17028801,137849
CPD,chr17,+,30378927,30469304,7,30376927,30471304,94377
CPE,chr4,+,165378802,165498330,2,165376802,165500330,123528
CPEB1,chr15,-,82543202,82572074,1,82541202,82574074,32872
CPEB2,chr4,+,15003172,15070152,3,15001172,15072152,70980
CPEB3,chr10,-,92049237,92243298,6,92047237,92245298,198061
CPEB4,chr5,+,173888344,173960309,7,173886344,173962309,75965
CPED1,chr7,+,120988679,121297440,21,120986679,121299440,312761
CPLX1,chr4,-,784958,826159,1,782958,828159,45201
CPM,chr12,-,68855040,68933171,3,68853040,68935171,82131
CPN2,chr3,-,194339766,194351359,2,194337766,194353359,15593
CPNE1,chr20,-,35626032,35664916,6,35624032,35666916,42884
CPNE2,chr16,+,57092605,57147964,1,57090605,57149964,59359
CPNE3,chr8,+,86514438,86561498,18,86512438,86563498,51060
CPNE4,chr3,-,131533563,131804710,7,131531563,131806710,275147
CPNE5,chr6,-,36740778,36840002,3,36738778,36842002,103224
CPNE6,chr14,+,24071562,24078086,1,24069562,24080086,10524
CPNE8,chr12,-,38652360,38905590,1,38650360,38907590,257230
CPOX,chr3,-,98579448,98593673,2,98577448,98595673,18225
CPPED1,chr16,-,12659800,12803887,11,12657800,12805887,148087
CPQ,chr8,+,96645310,97144009,3,96643310,97146009,502699
CPQ_ENSG00000270077,chr8,+,96645310,97144332,1,96643310,97146332,503022
CPS1,chr2,+,210477690,210679105,1,210475690,210681105,205415
CPSF1,chr8,-,144393230,144409372,2,144391230,144411372,20142
CPSF2,chr14,+,92121963,92164199,7,92119963,92166199,46236
CPSF3,chr2,+,9422679,9473099,2,9420679,9475099,54420
CPSF4,chr7,+,99438957,99457371,2,99436957,99459371,22414
CPSF6,chr12,+,69239569,69272839,8,69237569,69274839,37270
CPSF7,chr11,-,61402649,61430014,4,61400649,61432014,31365
CPT1A,chr11,-,68754628,68844234,1,68752628,68846234,93606
CPT1B,chr22,-,50567569,50578652,27,50565569,50580652,15083
CPT1C,chr19,+,49691116,49713731,1,49689116,49715731,26615
CPT2,chr1,+,53196778,53214195,8,53194778,53216195,21417
CPTP,chr1,+,1324816,1328895,5,1322816,1330895,8079
CPVL,chr7,-,28994640,29146661,9,28992640,29148661,156021
CPXM2,chr10,-,123745636,123891807,1,123743636,123893807,150171
CRACDL,chr2,-,98793853,98822909,1,98791853,98824909,33056
CRACR2A,chr12,-,3614423,3753107,1,3612423,3755107,142684
CRACR2B,chr11,+,827106,831985,7,825106,833985,8879
CRADD,chr12,+,93677378,93897717,3,93675378,93899717,224339
CRAMP1,chr16,+,1652495,1677906,1,1650495,1679906,29411
CRAT,chr9,-,129094796,129110782,9,129092796,129112782,19986
CRBN,chr3,-,3147218,3179701,10,3145218,3181701,36483
CRCP,chr7,+,66114847,66154563,6,66112847,66156563,43716
CREB1,chr2,+,207529920,207603431,12,207527920,207605431,77511
CREB3,chr9,+,35732178,35738886,3,35730178,35740886,10708
CREB3L1,chr11,+,46277663,46321386,4,46275663,46323386,47723
CREB3L2,chr7,-,137874981,138002115,5,137872981,138004115,131134
CREB5,chr7,+,28409368,28825888,8,28407368,28827888,420520
CREBBP,chr16,-,3725057,3850464,3,3723057,3852464,129407
CREBL2,chr12,+,12611841,12645106,7,12609841,12647106,37265
CREBRF,chr5,+,173056352,173139259,3,173054352,173141259,86907
CREBZF,chr11,-,85659648,85665129,1,85657648,85667129,9481
CREG1,chr1,-,167541020,167553764,1,167539020,167555764,16744
CREG2,chr2,-,101381562,101387466,1,101379562,101389466,9904
CRELD1,chr3,+,9933825,9945404,6,9931825,9947404,15579
CRELD2,chr22,+,49918656,49927536,2,49916656,49929536,12880
CREM,chr10,+,35127001,35211872,2,35125001,35213872,88871
CRHBP,chr5,+,76953010,76969473,1,76951010,76971473,20463
CRIM1,chr2,+,36396744,36551038,2,36394744,36553038,158294
CRIP2,chr14,+,105472890,105480161,7,105470890,105482161,11271
CRIPT,chr2,+,46617186,46625741,2,46615186,46627741,12555
CRISPLD1,chr8,+,74984505,75033297,1,74982505,75035297,52792
CRISPLD2,chr16,+,84819985,84909507,2,84817985,84911507,93522
CRK,chr17,-,1420700,1456241,7,1418700,1458241,39541
CRKL,chr22,+,20917407,20953746,8,20915407,20955746,40339
CRLF3,chr17,-,30782708,30824692,1,30780708,30826692,45984
CRLS1,chr20,+,6006099,6040055,7,6004099,6042055,37956
CRMA,chr20,-,62543784,62551535,4,62541784,62553535,11751
CRMP1,chr4,-,5820785,5888513,1,5818785,5890513,71728
CRNDE,chr16,-,54918932,54928505,1,54916932,54930505,13573
CRNKL1,chr20,-,20034210,20052455,8,20032210,20054455,22245
CROCCP2,chr1,-,16618259,16644718,3,16616259,16646718,30459
CROT,chr7,+,87345678,87399793,3,87343678,87401793,58115
CRPPA,chr7,-,16091178,16421608,1,16089178,16423608,334430
CRTAC1,chr10,-,97865002,98030621,2,97863002,98032621,169619
CRTAP,chr3,+,33113920,33147772,6,33111920,33149772,37852
CRTC1,chr19,+,18683644,18782331,7,18681644,18784331,102687
CRTC2,chr1,-,153947695,153958601,2,153945695,153960601,14906
CRTC3,chr15,+,90529923,90645344,4,90527923,90647344,119421
CRY1,chr12,-,106991367,107093831,6,106989367,107095831,106464
CRY2,chr11,+,45847474,45883246,4,45845474,45885246,39772
CRYAB,chr11,-,111908624,111913236,5,111906624,111915236,8612
CRYBG1,chr6,+,106512569,106570448,1,106510569,106572448,61879
CRYBG3,chr3,+,97821957,97944957,8,97819957,97946957,127000
CRYL1,chr13,-,20403674,20525864,2,20401674,20527864,126190
CRYM,chr16,-,21258522,21284005,4,21256522,21286005,29483
CRYZ,chr1,-,74702094,74733052,6,74700094,74735052,34958
CRYZL1,chr21,-,33589344,33641752,7,33587344,33643752,56408
CRYZL2P,chr1,-,178006142,178037966,4,178004142,178039966,35824
CS,chr12,-,56271661,56300391,16,56269661,56302391,32730
CSAD,chr12,-,53157664,53180646,2,53155664,53182646,26982
CSDC2,chr22,+,41560842,41577706,10,41558842,41579706,20864
CSDE1,chr1,-,114716917,114758025,73,114714917,114760025,45108
CSE1L,chr20,+,49046317,49097068,9,49044317,49099068,54751
CSF1,chr1,+,109910570,109930993,4,109908570,109932993,24423
CSF1R,chr5,-,150053296,150086546,1,150051296,150088546,37250
CSGALNACT1,chr8,-,19404162,19757919,27,19402162,19759919,357757
CSGALNACT2,chr10,+,43138450,43185299,5,43136450,43187299,50849
CSK,chr15,+,74782080,74803195,2,74780080,74805195,25115
CSNK1A1,chr5,-,149493384,149551497,37,149491384,149553497,62113
CSNK1D,chr17,-,82242660,82273700,7,82240660,82275700,35040
CSNK1E,chr22,-,38291918,38317431,3,38289918,38319431,29513
CSNK1G1,chr15,-,64171168,64356153,1,64169168,64358153,188985
CSNK1G2,chr19,+,1941365,1981310,1,1939365,1983310,43945
CSNK1G3,chr5,+,123512156,123616768,7,123510156,123618768,108612
CSNK2A1,chr20,-,472500,543790,13,470500,545790,75290
CSNK2A2,chr16,-,58162525,58197767,1,58160525,58199767,39242
CSPG4,chr15,-,75674328,75712848,2,75672328,75714848,42520
CSPP1,chr8,+,67064389,67159027,1,67062389,67161027,98638
CSRNP1,chr3,-,39139844,39153564,2,39137844,39155564,17720
CSRNP2,chr12,-,51061212,51083596,5,51059212,51085596,26384
CSRNP3,chr2,+,165469676,165686498,4,165467676,165688498,220822
CSRP1,chr1,-,201483532,201507123,1,201481532,201509123,27591
CSRP3,chr11,-,19176003,19201989,10,19174003,19203989,29986
CST3,chr20,-,23633657,23638014,2,23631657,23640014,8357
CST3_ENSG00000270001,chr20,-,23631815,23637959,1,23629815,23639959,10144
CSTB,chr21,-,43772515,43776345,2,43770515,43778345,7830
CSTF1,chr20,+,56392379,56406368,7,56390379,56408368,17989
CSTF2,chrX,+,100820391,100843533,5,100818391,100845533,27142
CSTF2T,chr10,-,51693783,51699900,7,51691783,51701900,10117
CSTF3,chr11,-,33084589,33161475,1,33082589,33163475,80886
CSTPP1,chr11,+,46936719,47162245,2,46934719,47164245,229526
CS_CNPY2,chr12,-,56271699,56315875,1,56269699,56317875,48176
CTBP1,chr4,-,1211446,1250324,8,1209446,1252324,42878
CTBP1-DT,chr4,+,1249257,1253006,3,1247257,1255006,7749
CTBP2,chr10,-,124988324,125161073,4,124986324,125163073,176749
CTBS,chr1,-,84553122,84574477,3,84551122,84576477,25355
CTC1,chr17,-,8226874,8248054,2,8224874,8250054,25180
CTCF,chr16,+,67562553,67639177,2,67560553,67641177,80624
CTDP1,chr18,+,79679813,79754501,4,79677813,79756501,78688
CTDSP1,chr2,+,218398725,218405940,5,218396725,218407940,11215
CTDSP2,chr12,-,57819929,57846969,5,57817929,57848969,31040
CTDSPL,chr3,+,37980977,37984469,1,37978977,37986469,7492
CTDSPL2,chr15,+,44427610,44527256,5,44425610,44529256,103646
CTF1,chr16,+,30896614,30903534,1,30894614,30905534,10920
CTIF,chr18,+,48539011,48863208,16,48537011,48865208,328197
CTNNA1,chr5,+,138753423,138935037,26,138751423,138937037,185614
CTNNA3,chr10,-,65912519,66766329,3,65910519,66768329,857810
CTNNAL1,chr9,-,108942571,109013499,4,108940571,109015499,74928
CTNNB1,chr3,+,41198655,41240444,11,41196655,41242444,45789
CTNNBIP1,chr1,-,9848276,9910346,6,9846276,9912346,66070
CTNNBL1,chr20,+,37694059,37872116,1,37692059,37874116,182057
CTNND1,chr11,+,57761772,57819181,17,57759772,57821181,61409
CTNND2,chr5,-,10972794,11364869,1,10970794,11366869,396075
CTNS,chr17,+,3636459,3661541,5,3634459,3663541,29082
CTPS1,chr1,+,40979696,41012556,2,40977696,41014556,36860
CTPS2,chrX,-,16588003,16712676,4,16586003,16714676,128673
CTR9,chr11,+,10751019,10779745,4,10749019,10781745,32726
CTSA,chr20,+,45891030,45898818,3,45889030,45900818,11788
CTSB,chr8,-,11842527,11868922,52,11840527,11870922,30395
CTSC,chr11,-,88293593,88337741,1,88291593,88339741,48148
CTSD,chr11,-,1752755,1763954,5,1750755,1765954,15199
CTSF,chr11,-,66563466,66568613,2,66561466,66570613,9147
CTSH,chr15,-,78921764,78945058,3,78919764,78947058,27294
CTSK,chr1,-,150796213,150808310,1,150794213,150810310,16097
CTSL,chr9,+,87726078,87731392,3,87724078,87733392,9314
CTSO,chr4,-,155924126,155953894,2,155922126,155955894,33768
CTSS,chr1,-,150732382,150765774,1,150730382,150767774,37392
CTTN,chr11,+,70398541,70436579,7,70396541,70438579,42038
CTTNBP2NL,chr1,+,112396214,112461163,7,112394214,112463163,68949
CTU2,chr16,+,88706500,88718585,2,88704500,88720585,16085
CTXND1,chr15,-,80197249,80252253,3,80195249,80254253,59004
CUEDC1,chr17,-,57861600,57955362,3,57859600,57957362,97762
CUEDC2,chr10,-,102423251,102432593,1,102421251,102434593,13342
CUL1,chr7,+,148698657,148801109,4,148696657,148803109,106452
CUL2,chr10,-,35009776,35090614,7,35007776,35092614,84838
CUL3,chr2,-,224472749,224585510,6,224470749,224587510,116761
CUL4A,chr13,+,113208245,113267104,20,113206245,113269104,62859
CUL4B,chrX,-,120524619,120561533,7,120522619,120563533,40914
CUL5,chr11,+,108008796,108107739,11,108006796,108109739,102943
CUL7,chr6,-,43037618,43053891,4,43035618,43055891,20273
CUL9,chr6,+,43182181,43224586,2,43180181,43226586,46405
CUTA,chr6,-,33416543,33417928,1,33414543,33419928,5385
CUTALP,chr9,+,120843084,120847479,2,120841084,120849479,8395
CUTC,chr10,+,99732245,99758005,2,99730245,99760005,29760
CUX1,chr7,+,101815932,102283957,6,101813932,102285957,472025
CWC15,chr11,-,94963343,94973573,1,94961343,94975573,14230
CWC22,chr2,-,179944034,180007283,9,179942034,180009283,67249
CWC25,chr17,-,38800445,38825321,4,38798445,38827321,28876
CWC27,chr5,+,64768936,65020550,5,64766936,65022550,255614
CWF19L1,chr10,-,100232298,100267680,5,100230298,100269680,39382
CWF19L2,chr11,-,107326364,107457819,2,107324364,107459819,135455
CX3CL1,chr16,+,57372490,57385046,3,57370490,57387046,16556
CX3CR1,chr3,-,39263496,39281703,1,39261496,39283703,22207
CXADR,chr21,+,17512650,17596399,6,17510650,17598399,87749
CXCL12,chr10,-,44370166,44385097,9,44368166,44387097,18931
CXCL16,chr17,-,4733536,4739928,1,4731536,4741928,10392
CXXC1,chr18,-,50282349,50287826,2,50280349,50289826,9477
CXXC5,chr5,+,139648349,139683880,10,139646349,139685880,39531
CXorf38,chrX,-,40626923,40647563,3,40624923,40649563,24640
CYB561,chr17,-,63432305,63446353,4,63430305,63448353,18048
CYB561A3,chr11,-,61348808,61362287,2,61346808,61364287,17479
CYB561D1,chr1,+,109494092,109500433,3,109492092,109502433,10341
CYB5A,chr18,-,74252047,74291978,2,74250047,74293978,43931
CYB5B,chr16,+,69424488,69466264,5,69422488,69468264,45776
CYB5D1,chr17,+,7857994,7862739,4,7855994,7864739,8745
CYB5D2,chr17,+,4143209,4157695,2,4141209,4159695,18486
CYB5R1,chr1,-,202961876,202967255,4,202959876,202969255,9379
CYB5R3,chr22,-,42617847,42649403,12,42615847,42651403,35556
CYB5R4,chr6,+,83859677,83960425,3,83857677,83962425,104748
CYB5RL,chr1,-,54172356,54200021,3,54170356,54202021,31665
CYBA,chr16,-,88643290,88651053,1,88641290,88653053,11763
CYBB,chrX,+,37780034,37813461,1,37778034,37815461,37427
CYBC1,chr17,-,82440430,82450776,3,82438430,82452776,14346
CYBRD1,chr2,+,171522473,171558133,3,171520473,171560133,39660
CYC1,chr8,+,144095076,144097523,2,144093076,144099523,6447
CYCS,chr7,-,25118653,25125321,11,25116653,25127321,10668
CYFIP1,chr15,-,22869466,22980379,6,22867466,22982379,114913
CYFIP2,chr5,+,157266088,157393207,7,157264088,157395207,131119
CYLD,chr16,+,50742044,50801935,15,50740044,50803935,63891
CYP11A1,chr15,-,74337762,74366212,1,74335762,74368212,32450
CYP1B1,chr2,-,38067610,38077298,7,38065610,38079298,13688
CYP20A1,chr2,+,203238974,203298525,2,203236974,203300525,63551
CYP26B1,chr2,-,72129238,72144531,1,72127238,72146531,19293
CYP27A1,chr2,+,218781750,218815291,1,218779750,218817291,37541
CYP2J2,chr1,-,59888432,59926786,9,59886432,59928786,42354
CYP2R1,chr11,-,14878011,14892216,1,14876011,14894216,18205
CYP2U1,chr4,+,107931549,107953460,8,107929549,107955460,25911
CYP2U1-AS1,chr4,-,107903713,107989692,3,107901713,107991692,89979
CYP39A1,chr6,-,46549709,46652762,3,46547709,46654762,107053
CYP46A1,chr14,+,99684320,99727958,3,99682320,99729958,47638
CYP4B1,chr1,+,46799046,46819348,6,46797046,46821348,24302
CYP4F12,chr19,+,15673079,15697147,1,15671079,15699147,28068
CYP4V2,chr4,+,186191304,186213456,6,186189304,186215456,26152
CYP4X1,chr1,+,47023679,47050750,1,47021679,47052750,31071
CYP51A1,chr7,-,92112159,92134788,3,92110159,92136788,26629
CYP7B1,chr8,-,64595334,64798734,1,64593334,64800734,207400
CYREN,chr7,-,135161318,135170780,8,135159318,135172780,13462
CYRIA,chr2,-,16550018,16665828,2,16548018,16667828,119810
CYRIB,chr8,-,129839595,130016716,15,129837595,130018716,181121
CYS1,chr2,-,10056476,10080017,2,10054476,10082017,27541
CYSLTR2,chr13,+,48653929,48711224,1,48651929,48713224,61295
CYSTM1,chr5,+,140175152,140243787,1,140173152,140245787,72635
CYTH1,chr17,-,78674049,78782297,6,78672049,78784297,112248
CYTH2,chr19,+,48469329,48482313,2,48467329,48484313,16984
CYTH3,chr7,-,6161783,6272644,3,6159783,6274644,114861
CYTH4,chr22,+,37282503,37315345,1,37280503,37317345,36842
CYTOR_ANAPC1P4,chr2,+,87584455,87739247,1,87582455,87741247,158792
CYYR1,chr21,-,26466212,26573262,3,26464212,26575262,111050
CZIB,chr1,-,53214102,53220602,1,53212102,53222602,10500
D2HGDH,chr2,+,241734630,241768809,5,241732630,241770809,38179
DAAM1,chr14,+,59188669,59371406,15,59186669,59373406,186737
DAAM2,chr6,+,39792365,39904864,3,39790365,39906864,116499
DAAM2_ENSG00000281969,chr6,+,39821247,39904870,1,39819247,39906870,87623
DAB1,chr1,-,56994785,57424090,3,56992785,57426090,433305
DAB2,chr5,-,39371683,39425201,5,39369683,39427201,57518
DAB2IP,chr9,+,121566929,121785528,13,121564929,121787528,222599
DACH1,chr13,-,71440507,71866340,1,71438507,71868340,429833
DACT2,chr6,-,168306907,168319735,1,168304907,168321735,16828
DACT3,chr19,-,46647613,46649218,1,46645613,46651218,5605
DAG1,chr3,+,49468662,49535614,28,49466662,49537614,70952
DAGLA,chr11,+,61680375,61747000,1,61678375,61749000,70625
DAGLB,chr7,-,6409126,6447963,3,6407126,6449963,42837
DALRD3,chr3,-,49015491,49018576,1,49013491,49020576,7085
DANCR,chr4,+,52712464,52714138,1,52710464,52716138,5674
DAND5,chr19,+,12969612,12974522,1,12967612,12976522,8910
DAP,chr5,-,10679233,10761255,1,10677233,10763255,86022
DAP3,chr1,+,155689056,155738971,5,155687056,155740971,53915
DAPK2,chr15,-,63907037,64046479,12,63905037,64048479,143442
DAPK3,chr19,-,3958456,3971096,5,3956456,3973096,16640
DARS1,chr2,-,135906685,135985617,4,135904685,135987617,82932
DARS2,chr1,+,173824487,173858544,4,173822487,173860544,38057
DAXX,chr6,-,33318560,33322954,1,33316560,33324954,8394
DAZAP1,chr19,+,1407556,1435681,3,1405556,1437681,32125
DAZAP2,chr12,+,51238826,51243930,4,51236826,51245930,9104
DBF4B,chr17,+,44708605,44750543,1,44706605,44752543,45938
DBI,chr2,+,119366977,119372540,1,119364977,119374540,9563
DBN1,chr5,-,177456607,177473655,6,177454607,177475655,21048
DBNDD1,chr16,-,90004874,90019456,1,90002874,90021456,18582
DBNDD2,chr20,+,45406052,45410605,6,45404052,45412605,8553
DBNL,chr7,+,44044681,44061714,3,44042681,44063714,21033
DBR1,chr3,-,138161015,138174928,2,138159015,138176928,17913
DBT,chr1,-,100191990,100249837,16,100189990,100251837,61847
DCAF1,chr3,-,51397841,51500008,8,51395841,51502008,106167
DCAF10,chr9,+,37800767,37867662,24,37798767,37869662,70895
DCAF11,chr14,+,24114774,24125614,21,24112774,24127614,14840
DCAF12,chr9,-,34086388,34126685,4,34084388,34128685,44297
DCAF13,chr8,+,103414714,103443567,5,103412714,103445567,32853
DCAF15,chr19,+,13952497,13961442,1,13950497,13963442,12945
DCAF16,chr4,-,17803205,17810757,3,17801205,17812757,11552
DCAF17,chr2,+,171434158,171485050,5,171432158,171487050,54892
DCAF4,chr14,+,72926501,72959623,1,72924501,72961623,37122
DCAF5,chr14,-,69050923,69153034,10,69048923,69155034,106111
